starttime	seconds	ctime	dtime	ttime	wait
Mon May 07 17:44:25 2018	1525707865	1	375	377	219
Mon May 07 17:44:56 2018	1525707896	31	451	482	37
Mon May 07 17:44:54 2018	1525707894	40	453	492	30
Mon May 07 17:45:39 2018	1525707939	38	503	541	42
Mon May 07 17:45:31 2018	1525707931	30	526	556	36
Mon May 07 17:45:14 2018	1525707914	30	554	584	33
Mon May 07 17:44:31 2018	1525707871	31	557	588	44
Mon May 07 17:44:38 2018	1525707878	35	578	613	37
Mon May 07 17:44:25 2018	1525707865	2	613	615	244
Mon May 07 17:45:02 2018	1525707902	31	584	615	37
Mon May 07 17:44:48 2018	1525707888	34	582	616	36
Mon May 07 17:44:53 2018	1525707893	37	584	621	35
Mon May 07 17:44:44 2018	1525707884	28	593	621	34
Mon May 07 17:45:24 2018	1525707924	34	589	623	38
Mon May 07 17:45:00 2018	1525707900	36	597	633	36
Mon May 07 17:44:48 2018	1525707888	35	623	658	35
Mon May 07 17:45:06 2018	1525707906	34	626	660	35
Mon May 07 17:44:31 2018	1525707871	35	626	661	45
Mon May 07 17:44:43 2018	1525707883	36	631	667	36
Mon May 07 17:44:34 2018	1525707874	37	633	670	32
Mon May 07 17:45:20 2018	1525707920	34	637	671	37
Mon May 07 17:44:25 2018	1525707865	1	699	700	262
Mon May 07 17:44:35 2018	1525707875	34	669	703	35
Mon May 07 17:44:37 2018	1525707877	34	669	703	37
Mon May 07 17:45:06 2018	1525707906	32	676	707	34
Mon May 07 17:44:36 2018	1525707876	36	672	708	148
Mon May 07 17:45:41 2018	1525707941	34	681	715	38
Mon May 07 17:44:34 2018	1525707874	27	688	716	135
Mon May 07 17:45:09 2018	1525707909	34	688	722	39
Mon May 07 17:45:10 2018	1525707910	36	688	724	28
Mon May 07 17:44:30 2018	1525707870	32	693	725	50
Mon May 07 17:44:55 2018	1525707895	33	698	730	38
Mon May 07 17:44:25 2018	1525707865	27	707	734	40
Mon May 07 17:45:30 2018	1525707930	34	701	734	32
Mon May 07 17:44:42 2018	1525707882	36	708	744	35
Mon May 07 17:44:56 2018	1525707896	34	715	749	43
Mon May 07 17:45:41 2018	1525707941	29	725	754	37
Mon May 07 17:45:15 2018	1525707915	32	724	755	40
Mon May 07 17:45:07 2018	1525707907	30	733	764	32
Mon May 07 17:44:42 2018	1525707882	36	730	766	36
Mon May 07 17:44:38 2018	1525707878	34	735	769	145
Mon May 07 17:45:05 2018	1525707905	33	740	773	39
Mon May 07 17:45:14 2018	1525707914	35	738	774	37
Mon May 07 17:44:56 2018	1525707896	37	738	775	35
Mon May 07 17:44:43 2018	1525707883	29	749	777	36
Mon May 07 17:45:21 2018	1525707921	34	747	781	38
Mon May 07 17:45:00 2018	1525707900	34	754	789	34
Mon May 07 17:45:34 2018	1525707934	30	762	792	33
Mon May 07 17:44:25 2018	1525707865	2	793	794	274
