starttime	seconds	ctime	dtime	ttime	wait
Mon May 07 13:23:39 2018	1525692219	22	110	131	23
Mon May 07 13:23:39 2018	1525692219	22	126	147	20
Mon May 07 13:23:39 2018	1525692219	22	126	147	25
Mon May 07 13:23:39 2018	1525692219	22	131	153	23
Mon May 07 13:23:39 2018	1525692219	22	134	155	23
Mon May 07 13:23:39 2018	1525692219	23	161	184	25
Mon May 07 13:23:39 2018	1525692219	29	209	238	32
Mon May 07 13:23:39 2018	1525692219	23	230	254	30
Mon May 07 13:23:39 2018	1525692219	23	238	262	31
Mon May 07 13:23:39 2018	1525692219	23	268	291	36
Mon May 07 13:23:39 2018	1525692219	27	269	296	31
Mon May 07 13:23:39 2018	1525692219	29	294	323	40
Mon May 07 13:23:39 2018	1525692219	29	352	381	45
Mon May 07 13:23:39 2018	1525692219	27	363	389	44
Mon May 07 13:23:39 2018	1525692219	29	374	402	46
Mon May 07 13:23:39 2018	1525692219	30	377	407	48
Mon May 07 13:23:39 2018	1525692219	29	392	421	51
Mon May 07 13:23:39 2018	1525692219	29	400	429	49
Mon May 07 13:23:39 2018	1525692219	29	406	434	53
Mon May 07 13:23:39 2018	1525692219	32	421	453	77
Mon May 07 13:23:39 2018	1525692219	29	437	466	63
Mon May 07 13:23:39 2018	1525692219	26	445	472	88
Mon May 07 13:23:39 2018	1525692219	23	449	472	69
Mon May 07 13:23:39 2018	1525692219	29	443	472	53
Mon May 07 13:23:39 2018	1525692219	32	455	487	77
Mon May 07 13:23:39 2018	1525692219	29	464	493	56
Mon May 07 13:23:39 2018	1525692219	30	486	517	85
Mon May 07 13:23:39 2018	1525692219	29	488	517	66
Mon May 07 13:23:39 2018	1525692219	23	495	519	78
Mon May 07 13:23:39 2018	1525692219	30	489	520	68
Mon May 07 13:23:52 2018	1525692232	239	286	525	149
Mon May 07 13:23:52 2018	1525692232	237	292	529	152
Mon May 07 13:23:39 2018	1525692219	29	515	544	68
Mon May 07 13:23:39 2018	1525692219	32	516	548	83
Mon May 07 13:23:39 2018	1525692219	32	516	548	91
Mon May 07 13:23:39 2018	1525692219	29	530	559	84
Mon May 07 13:23:39 2018	1525692219	29	531	560	71
Mon May 07 13:23:39 2018	1525692219	27	534	561	94
Mon May 07 13:23:39 2018	1525692219	32	535	567	93
Mon May 07 13:23:39 2018	1525692219	32	540	572	95
Mon May 07 13:23:39 2018	1525692219	32	554	586	101
Mon May 07 13:23:39 2018	1525692219	32	564	597	104
Mon May 07 13:23:39 2018	1525692219	36	567	603	106
Mon May 07 13:23:52 2018	1525692232	194	410	604	242
Mon May 07 13:23:45 2018	1525692225	158	451	609	97
Mon May 07 13:23:39 2018	1525692219	23	590	613	126
Mon May 07 13:23:52 2018	1525692232	199	415	615	247
Mon May 07 13:23:43 2018	1525692223	185	434	620	93
Mon May 07 13:23:41 2018	1525692221	106	517	622	106
Mon May 07 13:23:44 2018	1525692224	120	502	623	96
Mon May 07 13:23:39 2018	1525692219	36	587	623	111
Mon May 07 13:23:52 2018	1525692232	194	431	625	261
Mon May 07 13:23:43 2018	1525692223	166	461	627	258
Mon May 07 13:23:52 2018	1525692232	198	432	630	262
Mon May 07 13:23:48 2018	1525692228	223	408	631	118
Mon May 07 13:23:39 2018	1525692219	36	597	633	119
Mon May 07 13:23:45 2018	1525692225	176	457	633	114
Mon May 07 13:23:44 2018	1525692224	214	421	635	75
Mon May 07 13:23:52 2018	1525692232	197	439	635	271
Mon May 07 13:23:47 2018	1525692227	225	411	636	94
Mon May 07 13:23:44 2018	1525692224	154	484	638	93
Mon May 07 13:23:44 2018	1525692224	146	492	638	94
Mon May 07 13:23:45 2018	1525692225	210	428	638	83
Mon May 07 13:23:43 2018	1525692223	91	549	640	136
Mon May 07 13:23:44 2018	1525692224	247	393	641	71
Mon May 07 13:23:48 2018	1525692228	178	463	641	96
Mon May 07 13:23:39 2018	1525692219	36	606	641	124
Mon May 07 13:23:44 2018	1525692224	175	468	643	91
Mon May 07 13:23:48 2018	1525692228	127	517	644	107
Mon May 07 13:23:39 2018	1525692219	121	524	645	107
Mon May 07 13:23:39 2018	1525692219	197	449	646	64
Mon May 07 13:23:43 2018	1525692223	201	445	646	92
Mon May 07 13:23:39 2018	1525692219	131	515	646	104
Mon May 07 13:23:45 2018	1525692225	79	567	646	130
Mon May 07 13:23:44 2018	1525692224	242	404	646	72
Mon May 07 13:23:39 2018	1525692219	177	469	646	67
Mon May 07 13:23:48 2018	1525692228	170	476	646	101
Mon May 07 13:23:39 2018	1525692219	36	611	647	135
Mon May 07 13:23:41 2018	1525692221	116	533	649	106
Mon May 07 13:23:45 2018	1525692225	185	463	649	114
Mon May 07 13:23:48 2018	1525692228	249	400	649	120
Mon May 07 13:23:44 2018	1525692224	166	483	650	94
Mon May 07 13:23:44 2018	1525692224	242	409	651	74
Mon May 07 13:23:44 2018	1525692224	214	437	651	78
Mon May 07 13:23:45 2018	1525692225	223	429	651	114
Mon May 07 13:23:39 2018	1525692219	237	414	651	121
Mon May 07 13:23:47 2018	1525692227	228	423	652	96
Mon May 07 13:23:47 2018	1525692227	184	468	652	247
Mon May 07 13:23:44 2018	1525692224	197	457	654	249
Mon May 07 13:23:48 2018	1525692228	183	471	654	98
Mon May 07 13:23:45 2018	1525692225	100	553	654	154
Mon May 07 13:23:43 2018	1525692223	209	445	654	94
Mon May 07 13:23:45 2018	1525692225	81	573	654	134
Mon May 07 13:23:43 2018	1525692223	132	522	654	116
Mon May 07 13:23:45 2018	1525692225	112	542	654	109
Mon May 07 13:23:44 2018	1525692224	210	445	654	83
Mon May 07 13:23:52 2018	1525692232	168	487	654	248
