starttime	seconds	ctime	dtime	ttime	wait
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:12:46 2018	1525705966	0	1	1	1
Mon May 07 17:13:20 2018	1525706000	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:17 2018	1525705997	0	1	1	1
Mon May 07 17:13:09 2018	1525705989	0	1	1	1
Mon May 07 17:12:58 2018	1525705978	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:17 2018	1525705997	0	1	1	1
Mon May 07 17:13:34 2018	1525706014	0	1	1	1
Mon May 07 17:13:05 2018	1525705985	0	1	1	1
Mon May 07 17:13:21 2018	1525706001	0	1	1	1
Mon May 07 17:13:11 2018	1525705991	0	1	1	1
Mon May 07 17:13:18 2018	1525705998	0	1	1	1
Mon May 07 17:13:21 2018	1525706001	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:05 2018	1525705985	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:09 2018	1525705989	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:25 2018	1525706005	0	1	1	1
Mon May 07 17:13:21 2018	1525706001	0	1	1	1
Mon May 07 17:13:19 2018	1525705999	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:02 2018	1525705982	0	1	1	1
Mon May 07 17:13:02 2018	1525705982	0	1	1	1
Mon May 07 17:13:09 2018	1525705989	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:05 2018	1525705985	0	1	1	1
Mon May 07 17:13:23 2018	1525706003	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:07 2018	1525705987	0	1	1	1
Mon May 07 17:13:33 2018	1525706013	0	1	1	1
Mon May 07 17:12:52 2018	1525705972	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:02 2018	1525705982	0	1	1	1
Mon May 07 17:13:25 2018	1525706005	0	1	1	1
Mon May 07 17:13:08 2018	1525705988	0	1	1	1
Mon May 07 17:13:17 2018	1525705997	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:23 2018	1525706003	0	1	1	1
Mon May 07 17:13:09 2018	1525705989	0	1	1	1
Mon May 07 17:13:07 2018	1525705987	0	1	1	1
Mon May 07 17:13:21 2018	1525706001	0	1	1	1
Mon May 07 17:12:57 2018	1525705977	0	1	1	1
Mon May 07 17:13:01 2018	1525705981	0	1	1	1
Mon May 07 17:13:33 2018	1525706013	0	1	1	1
Mon May 07 17:13:22 2018	1525706002	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:17 2018	1525705997	0	1	1	1
Mon May 07 17:13:01 2018	1525705981	0	1	1	1
Mon May 07 17:13:22 2018	1525706002	0	1	1	1
Mon May 07 17:13:23 2018	1525706003	0	1	1	1
Mon May 07 17:13:32 2018	1525706012	0	1	1	1
Mon May 07 17:13:33 2018	1525706013	0	1	1	1
Mon May 07 17:13:05 2018	1525705985	0	1	1	1
Mon May 07 17:13:22 2018	1525706002	0	1	1	1
Mon May 07 17:13:02 2018	1525705982	0	1	1	1
Mon May 07 17:13:07 2018	1525705987	0	1	1	1
Mon May 07 17:13:25 2018	1525706005	0	1	1	1
Mon May 07 17:13:02 2018	1525705982	0	1	1	1
Mon May 07 17:13:07 2018	1525705987	0	1	1	1
Mon May 07 17:13:02 2018	1525705982	0	1	1	1
Mon May 07 17:13:02 2018	1525705982	0	1	1	1
Mon May 07 17:13:02 2018	1525705982	0	1	1	1
Mon May 07 17:13:01 2018	1525705981	0	1	1	1
Mon May 07 17:13:33 2018	1525706013	0	1	1	1
Mon May 07 17:13:34 2018	1525706014	0	1	1	1
Mon May 07 17:13:21 2018	1525706001	0	1	1	1
Mon May 07 17:13:33 2018	1525706013	0	1	1	1
Mon May 07 17:13:30 2018	1525706010	0	1	1	1
Mon May 07 17:12:56 2018	1525705976	0	1	1	1
Mon May 07 17:13:30 2018	1525706010	0	1	1	1
Mon May 07 17:13:16 2018	1525705996	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:09 2018	1525705989	0	1	1	1
Mon May 07 17:13:05 2018	1525705985	0	1	1	1
Mon May 07 17:13:08 2018	1525705988	0	1	1	1
Mon May 07 17:13:17 2018	1525705997	0	1	1	1
Mon May 07 17:13:21 2018	1525706001	0	1	1	1
Mon May 07 17:13:22 2018	1525706002	0	1	1	1
Mon May 07 17:13:07 2018	1525705987	0	1	1	1
Mon May 07 17:13:23 2018	1525706003	0	1	1	1
Mon May 07 17:12:46 2018	1525705966	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:07 2018	1525705987	0	1	1	1
Mon May 07 17:12:56 2018	1525705976	0	1	1	1
Mon May 07 17:13:33 2018	1525706013	0	1	1	1
Mon May 07 17:13:01 2018	1525705981	0	1	1	1
Mon May 07 17:13:04 2018	1525705984	0	1	1	1
Mon May 07 17:13:07 2018	1525705987	0	1	1	1
Mon May 07 17:13:07 2018	1525705987	0	1	1	1
Mon May 07 17:13:09 2018	1525705989	0	1	1	1
Mon May 07 17:13:03 2018	1525705983	0	1	1	1
Mon May 07 17:13:07 2018	1525705987	0	1	1	1
Mon May 07 17:13:32 2018	1525706012	0	1	1	1
