starttime	seconds	ctime	dtime	ttime	wait
Mon May 07 22:55:16 2018	1525726516	25	324	348	33
Mon May 07 22:55:16 2018	1525726516	26	335	361	38
Mon May 07 22:55:16 2018	1525726516	25	342	367	36
Mon May 07 22:55:16 2018	1525726516	25	379	404	36
Mon May 07 22:55:16 2018	1525726516	26	447	472	54
Mon May 07 22:55:16 2018	1525726516	25	457	481	41
Mon May 07 22:55:16 2018	1525726516	26	457	483	41
Mon May 07 22:55:16 2018	1525726516	25	470	494	56
Mon May 07 22:55:16 2018	1525726516	26	473	500	44
Mon May 07 22:55:16 2018	1525726516	26	476	502	39
Mon May 07 22:55:16 2018	1525726516	26	478	505	43
Mon May 07 22:55:16 2018	1525726516	26	484	510	51
Mon May 07 22:55:16 2018	1525726516	25	494	519	38
Mon May 07 22:55:16 2018	1525726516	26	494	521	49
Mon May 07 22:55:16 2018	1525726516	26	500	526	57
Mon May 07 22:55:16 2018	1525726516	27	518	545	47
Mon May 07 22:55:16 2018	1525726516	27	527	555	56
Mon May 07 22:55:16 2018	1525726516	27	535	563	92
Mon May 07 22:55:16 2018	1525726516	25	541	566	97
Mon May 07 22:55:16 2018	1525726516	25	542	566	94
Mon May 07 22:55:16 2018	1525726516	27	541	568	93
Mon May 07 22:55:16 2018	1525726516	27	545	572	92
Mon May 07 22:55:16 2018	1525726516	25	549	573	97
Mon May 07 22:55:16 2018	1525726516	27	551	579	92
Mon May 07 22:55:16 2018	1525726516	27	559	587	91
Mon May 07 22:55:16 2018	1525726516	27	565	593	94
Mon May 07 22:55:16 2018	1525726516	26	572	598	91
Mon May 07 22:55:16 2018	1525726516	25	574	599	94
Mon May 07 22:55:16 2018	1525726516	27	575	603	95
Mon May 07 22:55:16 2018	1525726516	26	577	603	95
Mon May 07 22:55:16 2018	1525726516	26	598	624	92
Mon May 07 22:55:16 2018	1525726516	25	600	625	97
Mon May 07 22:55:16 2018	1525726516	25	600	625	100
Mon May 07 22:55:16 2018	1525726516	25	600	625	100
Mon May 07 22:55:16 2018	1525726516	27	602	629	99
Mon May 07 22:55:16 2018	1525726516	27	605	633	97
Mon May 07 22:55:16 2018	1525726516	27	608	635	95
Mon May 07 22:55:16 2018	1525726516	27	608	635	97
Mon May 07 22:55:16 2018	1525726516	28	610	638	100
Mon May 07 22:55:16 2018	1525726516	30	609	639	102
Mon May 07 22:55:16 2018	1525726516	25	618	644	94
Mon May 07 22:55:16 2018	1525726516	28	621	648	104
Mon May 07 22:55:16 2018	1525726516	28	621	648	101
Mon May 07 22:55:16 2018	1525726516	27	622	649	102
Mon May 07 22:55:16 2018	1525726516	27	625	653	104
Mon May 07 22:55:16 2018	1525726516	30	961	991	431
Mon May 07 22:55:16 2018	1525726516	30	965	995	442
Mon May 07 22:55:16 2018	1525726516	30	979	1009	447
Mon May 07 22:55:16 2018	1525726516	31	1014	1044	484
Mon May 07 22:55:16 2018	1525726516	30	1075	1105	543
Mon May 07 22:55:16 2018	1525726516	30	1091	1121	551
Mon May 07 22:55:16 2018	1525726516	32	1093	1125	554
Mon May 07 22:55:16 2018	1525726516	33	1095	1128	563
Mon May 07 22:55:16 2018	1525726516	32	1102	1134	562
Mon May 07 22:55:20 2018	1525726520	138	1005	1144	303
Mon May 07 22:55:16 2018	1525726516	32	1112	1145	570
Mon May 07 22:55:16 2018	1525726516	32	1118	1150	581
Mon May 07 22:55:16 2018	1525726516	32	1123	1155	573
Mon May 07 22:55:16 2018	1525726516	32	1126	1158	586
Mon May 07 22:55:16 2018	1525726516	33	1130	1163	592
Mon May 07 22:55:16 2018	1525726516	32	1134	1166	586
Mon May 07 22:55:16 2018	1525726516	36	1155	1192	605
Mon May 07 22:55:19 2018	1525726519	143	1050	1194	314
Mon May 07 22:55:21 2018	1525726521	160	1045	1205	168
Mon May 07 22:55:21 2018	1525726521	158	1053	1210	169
Mon May 07 22:55:19 2018	1525726519	120	1091	1211	434
Mon May 07 22:55:21 2018	1525726521	159	1053	1212	167
Mon May 07 22:55:19 2018	1525726519	122	1090	1213	428
Mon May 07 22:55:21 2018	1525726521	165	1053	1217	173
Mon May 07 22:55:20 2018	1525726520	141	1080	1220	343
Mon May 07 22:55:19 2018	1525726519	121	1102	1224	434
Mon May 07 22:55:16 2018	1525726516	36	1189	1226	610
Mon May 07 22:55:21 2018	1525726521	165	1061	1227	181
Mon May 07 22:55:16 2018	1525726516	33	1195	1228	618
Mon May 07 22:55:19 2018	1525726519	136	1092	1228	364
Mon May 07 22:55:20 2018	1525726520	141	1088	1229	356
Mon May 07 22:55:16 2018	1525726516	37	1193	1230	618
Mon May 07 22:55:20 2018	1525726520	160	1073	1233	199
Mon May 07 22:55:16 2018	1525726516	37	1198	1234	621
Mon May 07 22:55:19 2018	1525726519	133	1103	1236	362
Mon May 07 22:55:16 2018	1525726516	34	1203	1236	627
Mon May 07 22:55:16 2018	1525726516	39	1201	1240	631
Mon May 07 22:55:16 2018	1525726516	37	1203	1240	629
Mon May 07 22:55:20 2018	1525726520	141	1101	1242	356
Mon May 07 22:55:20 2018	1525726520	175	1072	1247	192
Mon May 07 22:55:20 2018	1525726520	167	1085	1252	202
Mon May 07 22:55:19 2018	1525726519	128	1125	1253	378
Mon May 07 22:55:16 2018	1525726516	37	1217	1254	631
Mon May 07 22:55:16 2018	1525726516	40	1219	1259	645
Mon May 07 22:55:19 2018	1525726519	138	1122	1260	367
Mon May 07 22:55:16 2018	1525726516	40	1224	1264	649
Mon May 07 22:55:20 2018	1525726520	139	1125	1264	404
Mon May 07 22:55:16 2018	1525726516	40	1224	1264	639
Mon May 07 22:55:20 2018	1525726520	143	1122	1265	239
Mon May 07 22:55:16 2018	1525726516	41	1225	1266	663
Mon May 07 22:55:21 2018	1525726521	165	1101	1266	221
Mon May 07 22:55:19 2018	1525726519	122	1144	1266	466
Mon May 07 22:55:16 2018	1525726516	41	1229	1270	666
Mon May 07 22:55:19 2018	1525726519	127	1144	1271	391
Mon May 07 22:55:20 2018	1525726520	141	1133	1274	353
Mon May 07 22:55:16 2018	1525726516	40	1235	1275	652
Mon May 07 22:55:16 2018	1525726516	41	1235	1277	671
Mon May 07 22:55:21 2018	1525726521	162	1120	1282	224
