starttime	seconds	ctime	dtime	ttime	wait
Mon May 07 13:25:51 2018	1525692351	15	97	112	18
Mon May 07 13:26:08 2018	1525692368	15	97	113	18
Mon May 07 13:25:40 2018	1525692340	15	98	113	18
Mon May 07 13:25:40 2018	1525692340	16	98	114	18
Mon May 07 13:25:40 2018	1525692340	16	100	115	21
Mon May 07 13:25:51 2018	1525692351	16	100	116	19
Mon May 07 13:25:41 2018	1525692341	17	99	116	19
Mon May 07 13:26:08 2018	1525692368	16	100	116	18
Mon May 07 13:25:53 2018	1525692353	16	101	117	19
Mon May 07 13:26:08 2018	1525692368	15	102	117	18
Mon May 07 13:26:08 2018	1525692368	15	103	118	20
Mon May 07 13:25:53 2018	1525692353	18	101	118	17
Mon May 07 13:25:11 2018	1525692311	14	104	119	17
Mon May 07 13:26:07 2018	1525692367	17	102	119	18
Mon May 07 13:25:40 2018	1525692340	16	103	119	18
Mon May 07 13:26:08 2018	1525692368	16	103	119	19
Mon May 07 13:25:40 2018	1525692340	18	102	120	19
Mon May 07 13:25:53 2018	1525692353	16	104	120	18
Mon May 07 13:25:11 2018	1525692311	17	103	120	17
Mon May 07 13:25:53 2018	1525692353	15	105	120	18
Mon May 07 13:25:40 2018	1525692340	15	106	121	18
Mon May 07 13:25:51 2018	1525692351	17	105	122	19
Mon May 07 13:25:52 2018	1525692352	16	105	122	21
Mon May 07 13:25:40 2018	1525692340	19	104	123	19
Mon May 07 13:25:45 2018	1525692345	20	103	124	20
Mon May 07 13:25:42 2018	1525692342	16	108	124	19
Mon May 07 13:25:40 2018	1525692340	18	107	125	20
Mon May 07 13:25:53 2018	1525692353	17	108	125	19
Mon May 07 13:25:40 2018	1525692340	17	108	126	20
Mon May 07 13:25:45 2018	1525692345	17	108	126	20
Mon May 07 13:26:07 2018	1525692367	15	111	126	24
Mon May 07 13:25:53 2018	1525692353	17	109	126	19
Mon May 07 13:25:45 2018	1525692345	17	109	127	19
Mon May 07 13:25:11 2018	1525692311	16	111	127	22
Mon May 07 13:25:51 2018	1525692351	17	110	127	20
Mon May 07 13:25:52 2018	1525692352	17	110	128	22
Mon May 07 13:26:07 2018	1525692367	18	110	128	20
Mon May 07 13:25:40 2018	1525692340	18	110	128	19
Mon May 07 13:26:08 2018	1525692368	16	113	129	21
Mon May 07 13:25:45 2018	1525692345	20	109	129	19
Mon May 07 13:25:40 2018	1525692340	17	113	130	20
Mon May 07 13:25:42 2018	1525692342	18	112	130	20
Mon May 07 13:25:53 2018	1525692353	17	114	130	19
Mon May 07 13:26:08 2018	1525692368	18	113	130	21
Mon May 07 13:25:45 2018	1525692345	19	112	131	18
Mon May 07 13:25:11 2018	1525692311	17	114	131	20
Mon May 07 13:25:40 2018	1525692340	19	113	131	20
Mon May 07 13:25:51 2018	1525692351	19	113	131	20
Mon May 07 13:25:42 2018	1525692342	16	115	131	20
Mon May 07 13:25:45 2018	1525692345	17	115	132	19
Mon May 07 13:25:40 2018	1525692340	20	112	132	21
Mon May 07 13:25:51 2018	1525692351	24	108	132	20
Mon May 07 13:25:52 2018	1525692352	20	112	132	20
Mon May 07 13:25:52 2018	1525692352	19	113	133	21
Mon May 07 13:25:11 2018	1525692311	17	116	133	20
Mon May 07 13:26:07 2018	1525692367	17	116	133	24
Mon May 07 13:26:07 2018	1525692367	18	116	134	24
Mon May 07 13:26:08 2018	1525692368	18	115	134	20
Mon May 07 13:25:11 2018	1525692311	17	117	134	20
Mon May 07 13:25:51 2018	1525692351	24	110	134	20
Mon May 07 13:25:40 2018	1525692340	18	117	134	20
Mon May 07 13:26:08 2018	1525692368	18	116	135	20
Mon May 07 13:25:45 2018	1525692345	18	116	135	20
Mon May 07 13:25:40 2018	1525692340	18	117	135	20
Mon May 07 13:25:41 2018	1525692341	18	117	135	22
Mon May 07 13:25:40 2018	1525692340	19	116	135	21
Mon May 07 13:25:53 2018	1525692353	19	116	135	22
Mon May 07 13:25:51 2018	1525692351	19	117	136	21
Mon May 07 13:25:51 2018	1525692351	19	117	136	21
Mon May 07 13:25:41 2018	1525692341	19	117	136	21
Mon May 07 13:25:41 2018	1525692341	18	119	138	21
Mon May 07 13:25:45 2018	1525692345	18	120	138	20
Mon May 07 13:25:51 2018	1525692351	19	120	139	22
Mon May 07 13:25:45 2018	1525692345	20	119	139	21
Mon May 07 13:25:41 2018	1525692341	18	121	139	21
Mon May 07 13:26:07 2018	1525692367	28	111	139	20
Mon May 07 13:25:40 2018	1525692340	19	121	140	23
Mon May 07 13:25:45 2018	1525692345	17	123	140	20
Mon May 07 13:25:42 2018	1525692342	20	120	140	21
Mon May 07 13:25:50 2018	1525692350	21	119	140	22
Mon May 07 13:25:42 2018	1525692342	17	123	140	21
Mon May 07 13:25:51 2018	1525692351	19	121	140	21
Mon May 07 13:25:53 2018	1525692353	20	121	140	21
Mon May 07 13:25:53 2018	1525692353	19	121	141	24
Mon May 07 13:26:07 2018	1525692367	21	121	141	22
Mon May 07 13:25:42 2018	1525692342	18	123	141	22
Mon May 07 13:25:41 2018	1525692341	32	110	142	29
Mon May 07 13:25:11 2018	1525692311	18	124	142	21
Mon May 07 13:26:07 2018	1525692367	17	125	142	20
Mon May 07 13:25:51 2018	1525692351	20	123	143	21
Mon May 07 13:25:50 2018	1525692350	24	119	143	22
Mon May 07 13:25:11 2018	1525692311	20	124	143	21
Mon May 07 13:25:45 2018	1525692345	18	126	143	20
Mon May 07 13:25:44 2018	1525692344	18	126	144	19
Mon May 07 13:25:40 2018	1525692340	19	127	145	19
Mon May 07 13:25:52 2018	1525692352	23	124	147	23
Mon May 07 13:25:53 2018	1525692353	22	125	147	21
Mon May 07 13:25:52 2018	1525692352	20	127	147	24
Mon May 07 13:25:51 2018	1525692351	19	129	148	21
Mon May 07 13:25:39 2018	1525692339	17	131	148	46
Mon May 07 13:25:53 2018	1525692353	21	127	148	23
Mon May 07 13:26:07 2018	1525692367	18	131	149	39
Mon May 07 13:25:45 2018	1525692345	22	128	150	22
Mon May 07 13:25:53 2018	1525692353	35	116	150	24
Mon May 07 13:25:52 2018	1525692352	26	124	151	21
Mon May 07 13:26:07 2018	1525692367	19	132	151	24
Mon May 07 13:25:40 2018	1525692340	24	127	152	24
Mon May 07 13:25:52 2018	1525692352	34	118	152	22
Mon May 07 13:25:45 2018	1525692345	16	137	152	19
Mon May 07 13:26:07 2018	1525692367	19	134	152	21
Mon May 07 13:25:40 2018	1525692340	18	134	153	19
Mon May 07 13:25:53 2018	1525692353	37	117	154	29
Mon May 07 13:25:39 2018	1525692339	17	138	155	20
Mon May 07 13:25:42 2018	1525692342	21	136	157	22
Mon May 07 13:25:50 2018	1525692350	16	141	157	19
Mon May 07 13:26:07 2018	1525692367	17	141	158	22
